Kaĩp jùms sẽkasi, panelè?	Kaip jums sekasi, panele?	How are you doing, miss?	panele	4	panelė	Ncfsin-	2femĖ
Šiuõ metù jõ čià nėrà.	Šiuo metu jo čia nėra.	He's not here right now.	metu	1	metas	Ncmsin-	1mascIAS
Šiuõ metù niẽko negaliù pasakýti.	Šiuo metu nieko negaliu pasakyti.	I can't say anything at this time.	metu	1	metas	Ncmsin-	1mascIAS
Abù jõs sūnùs mìrė kãro metù.	Abu jos sūnus mirė karo metu.	Both of her sons died during the war.	metu	5	metas	Ncmsin-	1mascIAS
Mū́sų sūnùs mìrė kãro metù.	Mūsų sūnus mirė karo metu.	Our son died during the war.	metu	4	metas	Ncmsin-	1mascIAS
Kuriuõ metù jìs išė̃jo?	Kuriuo metu jis išėjo?	At what time did he leave?	metu	1	metas	Ncmsin-	1mascIAS
Mán skaũda rankà.	Man skauda ranka.	My arm hurts.	ranka	2	ranka	Ncfsin-	2femIA
Kuriuõ metù galė́tum pàs mùs rytój ateitì?	Kuriuo metu galėtum pas mus rytoj ateiti?	At what time would you be able to come to us tomorrow?	metu	1	metas	Ncmsin-	1mascIAS
Ar̃ tù tuõ metù buvaĩ mokỹkloje?	Ar tu tuo metu buvai mokykloje?	Were you at school at that time?	metu	3	metas	Ncmsin-	1mascIAS
Šiuõ metù Tòmas nėrà kalė́jime.	Šiuo metu Tomas nėra kalėjime.	Tom isn't currently in prison.	metu	1	metas	Ncmsin-	1mascIAS
Tòmas šiuõ metù nėrà kalė́jime.	Tomas šiuo metu nėra kalėjime.	Tom is not in prison at the moment.	metu	2	metas	Ncmsin-	1mascIAS
Tòmas turė́jo tuõ metù būtì namiẽ.	Tomas turėjo tuo metu būti namie.	Tom must have been at home at that time.	metu	3	metas	Ncmsin-	1mascIAS
Àš nèt negaliù prisimiñti, kuõ jìs bùvo vardù.	Aš net negaliu prisiminti, kuo jis buvo vardu.	I can't even remember what his name was.	vardu	8	vardas	Ncmsin-	1mascIAS
Ar̃ šiuõ metù esì užsiė̃męs?	Ar šiuo metu esi užsiėmęs?	Are you busy at the moment?	metu	2	metas	Ncmsin-	1mascIAS
Atėjaĩ pačiù laikù.	Atėjai pačiu laiku.	You came at just the right time.	laiku	2	laikas	Ncmsin-	1mascIAS
Atléisk mán, màno méile.	Atleisk man, mano meile.	Forgive me, my love.	meile	4	meilė	Ncfsin-	2femĖ
Jìs manè nužùdė víenu žodžiù.	Jis mane nužudė vienu žodžiu.	He killed me with one word.	žodžiu	4	žodis	Ncmsin-	1mascIS
Ką̃ tù padareĩ sù sàvo kãmera?	Ką tu padarei su savo kamera?	What did you do with your camera?	kamera	5	kamera	Ncfsin-	2femIA
Nóriu susitìkti sù tàvo tė́vu.	Noriu susitikti su tavo tėvu.	I'd like to see your father.	tėvu	4	tėvas	Ncmsin-	1mascIAS
Telefònas šiuõ metù neveikià.	Telefonas šiuo metu neveikia.	The phone doesn't work right now.	metu	2	metas	Ncmsin-	1mascIAS
Àš nètikiu Dievù.	Aš netikiu Dievu.	I don't believe in God.	Dievu	2	dievas	Ncmsin-	1mascIAS
Àš nóriu pasikalbė́ti sù tàvo dėdè.	Aš noriu pasikalbėti su tavo dėde.	I want to talk with your uncle.	dėde	5	dėdė	Ncmsin-	
Àš turiù ją̃ išgélbėti bèt kokià káina.	Aš turiu ją išgelbėti bet kokia kaina.	I must save her at all costs.	kokia	5	kaina	Ncfsin-	2femIA
Dabar̃ gyvenù sù sàvo dėdè.	Dabar gyvenu su savo dėde.	Now I live with my uncle.	dėde	4	dėdė	Ncmsin-	
Kaĩ kuriẽ tìki Dievù, bèt kitì nè.	Kai kurie tiki Dievu, bet kiti ne.	Some believe in God, but others do not.	tiki	2	dievas	Ncmsin-	1mascIAS
Kaĩ kuriẽ žmónės tìki Dievù, õ kitì nè.	Kai kurie žmonės tiki Dievu, o kiti ne.	Some people believe in God and others don't.	tiki	3	dievas	Ncmsin-	1mascIAS
Tókiu ãtveju, mẽs tùrime problèmą...	Tokiu atveju, mes turime problemą...	In that case, we've got a problem...	atveju	1	atvejis	Ncmsin-	1mascIS
Tòmas šiuõ metù gyvẽna sù sàvo dėdè.	Tomas šiuo metu gyvena su savo dėde.	Tom currently lives with his uncle.	metu	2	metas	Ncmsin-	1mascIAS
Tòmas šiuõ metù gyvẽna sù sàvo dėdè.	Tomas šiuo metu gyvena su savo dėde.	Tom currently lives with his uncle.	dėde	6	dėdė	Ncmsin-	
Ar̃ galiù pasinaudóti tàvo telefonù?	Ar galiu pasinaudoti tavo telefonu?	Might I use your phone?	telefonu	4	telefonas	Ncmsin-	1mascIAS
Jiẽ sãko kàd jìs tuõ metù bùvo ligóninėje.	Jie sako kad jis tuo metu buvo ligoninėje.	They say that he was in the hospital at that time.	metu	5	metas	Ncmsin-	1mascIAS
Àš labaĩ didžiúojuosi sàvo dukrà.	Aš labai didžiuojuosi savo dukra.	I'm very proud of my daughter.	dukra	4	dukra	Ncfsin-	2femIA
Tókiu ãtveju, eĩname.	Tokiu atveju, einame.	In that case, let's go.	atveju	1	atvejis	Ncmsin-	1mascIS
Tókiu ãtveju, skam̃bink polìcijai.	Tokiu atveju, skambink policijai.	In that case, call the police.	atveju	1	atvejis	Ncmsin-	1mascIS
Tuõ metù, vìsas pasáulis bùvo álkanas.	Tuo metu, visas pasaulis buvo alkanas.	At that time, the whole world was hungry.	metu	1	metas	Ncmsin-	1mascIAS
Taĩp išė̃jo kàd àš tuõ metù buvaũ Lòndone.	Taip išėjo kad aš tuo metu buvau Londone.	It happened that I was not in London at that time.	metu	5	metas	Ncmsin-	1mascIAS
Tòmas tikriáusiai dabar̃ ỹra sù Merè.	Tomas tikriausiai dabar yra su Mere.	Tom is probably with Mary right now.	Mere	5	merė	Ncfsin-	2femĖ
Jì tãpo móterimi.	Ji tapo moterimi.	She became a woman.	moterimi	2	moteris	Ncfsin-	3fem
Nuėjaũ į̃ kìną sù sàvo bróliu.	Nuėjau į kiną su savo broliu.	I went to the cinema with my brother.	broliu	5	brolis	Ncmsin-	1mascIS
Ar̃ pasìtiki Dievù?	Ar pasitiki Dievu?	You trust in god?	Dievu	2	dievas	Ncmsin-	1mascIAS
Màno núomone, bùs sunkù išspręstì šią̃ problèmą.	Mano nuomone, bus sunku išspręsti šią problemą.	In my opinion, it would be difficult to solve this problem.	nuomone	1	nuomonė	Ncfsin-	2femĖ
Àš nebuvaũ paténkintas gyvẽnimu Parỹžiuje.	Aš nebuvau patenkintas gyvenimu Paryžiuje.	I was not satisfied with life in Paris.	gyvenimu	3	gyvenimas	Ncmsin-	1mascIAS
Ką̃ jìs padãrė sù màno mėsà?	Ką jis padarė su mano mėsa?	What did he do to my meat?	mėsa	5	mėsa	Ncfsin-	2femIA
Àš didžiúojuosi sàvo sūnumì.	Aš didžiuojuosi savo sūnumi.	I'm proud of my son.	sūnumi	3	sūnus	Ncmsin-	4masc
Àš esù paténkintas sàvo dárbu.	Aš esu patenkintas savo darbu.	I am content with my job.	darbu	4	darbas	Ncmsin-	1mascIAS
Jì šiuõ metù ỹra pavõjuje.	Ji šiuo metu yra pavojuje.	She is currently in danger.	metu	2	metas	Ncmsin-	1mascIAS
Kuriuõ metù mẽs turė́tume nueitì į̃ stõtį?	Kuriuo metu mes turėtume nueiti į stotį?	At what time should we go to the station?	metu	1	metas	Ncmsin-	1mascIAS
Mótina nežinójo ką̃ darýti sù sàvo sūnumì.	Motina nežinojo ką daryti su savo sūnumi.	The mother didn't know what to do with her son.	sūnumi	6	sūnus	Ncmsin-	4masc
Tòmas praléido laĩką sù Merè.	Tomas praleido laiką su Mere.	Tom spent time with Mary.	Mere	4	merė	Ncfsin-	2femĖ
Kaĩp tìk tuõ metù autobùsas sustójo.	Kaip tik tuo metu autobusas sustojo.	Just at that time, the bus stopped.	metu	3	metas	Ncmsin-	1mascIAS
Mėnùlis sùkasi apliñk Žemè.	Mėnulis sukasi aplink Žeme.	The moon moves around the earth.	Žeme	3	žemė	Ncfsin-	2femĖ
Ar̃ einù teisìnga kryptimì?	Ar einu teisinga kryptimi?	Am I going in the right direction?	kryptimi	3	kryptis	Ncfsin-	3fem
Àš gyvenù Kairè.	Aš gyvenu Kaire.	I live in Cairo.	Kaire	2	kairė	Ncfsin-	2femĖ
Àš sutinkù, bèt tìk sù víena są́lyga.	Aš sutinku, bet tik su viena sąlyga.	I accept, but only under one condition.	sąlyga	7	sąlyga	Ncfsin-	2femIA
Jì gulė́jo añt lóvos véidu žemỹn.	Ji gulėjo ant lovos veidu žemyn.	She was lying face down on the bed.	veidu	4	veidas	Ncmsin-	1mascIAS
Milijõnas žmonių̃ prarãdo sàvo gyvýbę kãro metù.	Milijonas žmonių prarado savo gyvybę karo metu.	A million people lost their live during the war.	metu	6	metas	Ncmsin-	1mascIAS
Sù kurià móterimi tù liekì?	Su kuria moterimi tu lieki?	Which woman do you stay with?	moterimi	2	moteris	Ncfsin-	3fem
Taĩ ką̃ jìs pasãkė netùri niẽko beñdro sù šiuõ reĩkalu.	Tai ką jis pasakė neturi nieko bendro su šiuo reikalu.	What he said is irrelevant to the matter.	reikalu	9	reikalas	Ncmsin-	1mascIAS
Tàs miẽstas bùvo sunaikìntas kãro metù.	Tas miestas buvo sunaikintas karo metu.	The town was destroyed during the war.	metu	5	metas	Ncmsin-	1mascIAS
Ar̃ šiuõ metù esì užsiė̃musi?	Ar šiuo metu esi užsiėmusi?	Are you busy at the moment?	metu	2	metas	Ncmsin-	1mascIAS
Àš esù paténkinta sàvo dárbu.	Aš esu patenkinta savo darbu.	I am content with my job.	darbu	4	darbas	Ncmsin-	1mascIAS
Àš žaidžiù sù sàvo sūnumì.	Aš žaidžiu su savo sūnumi.	I play with my son.	sūnumi	4	sūnus	Ncmsin-	4masc
Jì atródė paténkinta sàvo naujù dárbu.	Ji atrodė patenkinta savo nauju darbu.	She looked pleased with her new job.	darbu	5	darbas	Ncmsin-	1mascIAS
Nerimáuju, ar̃ mán pavỹks būtì gerù tėčiù.	Nerimauju, ar man pavyks būti geru tėčiu.	I worry about whether I'll be a good father.	tėčiu	7	tėtis	Ncmsin-	1mascIS
Paskutiniù metù buvaũ labaĩ užsiė̃męs.	Paskutiniu metu buvau labai užsiėmęs.	I've been very busy lately.	metu	1	metas	Ncmsin-	1mascIAS
Paskutiniù metù buvaũ labaĩ užsiė̃musi.	Paskutiniu metu buvau labai užsiėmusi.	I've been very busy lately.	metu	1	metas	Ncmsin-	1mascIAS
Eĩkite tiẽsiai šità gatvè.	Eikite tiesiai šita gatve.	Go straight on down this street.	gatve	3	gatvė	Ncfsin-	2femĖ
Jiẽ gyvẽno káime kãro metù.	Jie gyveno kaime karo metu.	They lived in the countryside during the war.	metu	4	metas	Ncmsin-	1mascIAS
Jì tùri sū́nų kurìs tãpo dãktaru.	Ji turi sūnų kuris tapo daktaru.	She has a son, who became a doctor.	daktaru	5	daktaras	Ncmsin-	1mascIAS
Kuriuõ metù šòu pasìbaigė?	Kuriuo metu šou pasibaigė?	At what time did the show finish?	metu	1	metas	Ncmsin-	1mascIAS
Žiū̃rint į̃ jį̃, jį̃ gãlima palaikýti mergáite.	Žiūrint į jį, jį galima palaikyti mergaite.	To look at him, you'd take him for a girl.	mergaite	7	mergaitė	Ncfsin-	2femĖ
Ar̃ tìki méile ìš pìrmo žvil̃gsnio?	Ar tiki meile iš pirmo žvilgsnio?	Do you believe in love at first sight?	meile	2	meilė	Ncfsin-	2femĖ
Ar̃ tìkite méile ìš pìrmo žvil̃gsnio?	Ar tikite meile iš pirmo žvilgsnio?	Do you believe in love at first sight?	meile	2	meilė	Ncfsin-	2femĖ
Àš išmókau grotì gitarà kaĩ mán bùvo dẽšimt mẽtų.	Aš išmokau groti gitara kai man buvo dešimt metų.	I learned to play guitar when I was ten years old.	gitara	3	gitara	Ncfsin-	2femIA
Àš paprašiaũ Tòmo grotì gitarà.	Aš paprašiau Tomo groti gitara.	I asked Tom to play the guitar.	gitara	4	gitara	Ncfsin-	2femIA
Jì tãpo seselè.	Ji tapo sesele.	She became a nurse.	sesele	2	seselė	Ncfsin-	2femĖ
Mė́gstu grotì gitarà.	Mėgstu groti gitara.	I like to play guitar.	gitara	2	gitara	Ncfsin-	2femIA
Norė́čiau taptì arbà daktarè, arbà seselè, arbà mókytoja.	Norėčiau tapti arba daktare, arba sesele, arba mokytoja.	I want to be a doctor or a nurse or a teacher.	sesele	6	seselė	Ncfsin-	2femĖ
Ròbertas mė́go kalbė́ti sù sàvo merginà.	Robertas mėgo kalbėti su savo mergina.	Robert enjoyed talking with his girlfriend.	mergina	5	mergina	Ncfsin-	2femIA
Šiuõ metù Tòmas niẽkur nedìrba.	Šiuo metu Tomas niekur nedirba.	Tom isn't currently working anywhere.	metu	1	metas	Ncmsin-	1mascIAS
Ar̃ mókate naudótis kompiùteriu?	Ar mokate naudotis kompiuteriu?	Do you know how to use a computer?	kompiuteriu	3	kompiuteris	Ncmsin-	1mascIS
Ar̃ mokì naudótis kompiùteriu?	Ar moki naudotis kompiuteriu?	Do you know how to use a computer?	kompiuteriu	3	kompiuteris	Ncmsin-	1mascIS
Jìs atvažiãvo automobiliù.	Jis atvažiavo automobiliu.	He came by car.	automobiliu	2	automobilis	Ncmsin-	1mascIS
Jìs mán pasãkė kàd àš galiù naudótis jõ automobiliù.	Jis man pasakė kad aš galiu naudotis jo automobiliu.	He told me that I could use his car.	automobiliu	8	automobilis	Ncmsin-	1mascIS
Kaĩ kuriẽ pasakýtų, kàd jìs žaĩdžia sù ugnimì.	Kai kurie pasakytų, kad jis žaidžia su ugnimi.	Some would say that he's playing with fire.	su	7	ugnis	Ncfsin-	3fem
Kar̃tais àš važiúoju autobusù, kar̃tais automobiliù.	Kartais aš važiuoju autobusu, kartais automobiliu.	Sometimes I go by bus and sometimes by car.	autobusu	3	autobusas	Ncmsin-	1mascIAS
Kar̃tais àš važiúoju autobusù, kar̃tais automobiliù.	Kartais aš važiuoju autobusu, kartais automobiliu.	Sometimes I go by bus and sometimes by car.	automobiliu	6	automobilis	Ncmsin-	1mascIS
Kókiu kompiùteriu Tòmas naudójasi?	Kokiu kompiuteriu Tomas naudojasi?	What kind of computer does Tom use?	kompiuteriu	1	kompiuteris	Ncmsin-	1mascIS
Màno svajõnė ỹra taptì mókytoju.	Mano svajonė yra tapti mokytoju.	My dream is to become a teacher.	mokytoju	4	mokytojas	Ncmsin-	1mascIAS
Nevadìnk manę̃s kvailiù!	Nevadink manęs kvailiu!	Don't call me an idiot!	kvailiu	2	kvailys	Ncmsin-	1mascIS
Nežaĩsk sù ugnimì.	Nežaisk su ugnimi.	Don't play with fire.	ugnimi	2	ugnis	Ncfsin-	3fem
Norė́čiau taptì mókytoju.	Norėčiau tapti mokytoju.	I'd like to be a teacher.	mokytoju	2	mokytojas	Ncmsin-	1mascIAS
Pavojìnga žaistì sù ugnimì.	Pavojinga žaisti su ugnimi.	It's dangerous to play with fire.	ugnimi	3	ugnis	Ncfsin-	3fem
Ar̃ šiuõ metù ẽsate užsiė̃mę?	Ar šiuo metu esate užsiėmę?	Are you busy at the moment?	metu	2	metas	Ncmsin-	1mascIAS
Kaĩp tù susipažinaĩ sù tuõ žmogumì?	Kaip tu susipažinai su tuo žmogumi?	How did you get to know that person?	žmogumi	5	žmogus	Ncmsin-	exception
Kàs skam̃bina pianinù?	Kas skambina pianinu?	Who is playing the piano?	pianinu	2	pianinas	Ncmsin-	1mascIAS
Šiojè šalyjè vidutìnis vaikų̃ skaĩčius šeĩmai nukrìto nuõ dviejų̃ ikì víeno sù pusè.	Šioje šalyje vidutinis vaikų skaičius šeimai nukrito nuo dviejų iki vieno su puse.	In this country the average number of children per family fell from 2 to 1.5.	puse	12	pusė	Ncfsin-	2femĖ
Tòmas važiúoja dvìračiu.	Tomas važiuoja dviračiu.	Tom is riding a bicycle.	dviračiu	2	dviratis	Ncmsin-	1mascIS
Àš išmókau važiúoti dvìračiu kaĩ mán bùvo šešerì.	Aš išmokau važiuoti dviračiu kai man buvo šešeri.	I learned how to ride a bike when I was six years old.	dviračiu	3	dviratis	Ncmsin-	1mascIS
Àš norė́čiau pasikalbė́ti sù Džonù.	Aš norėčiau pasikalbėti su Džonu.	I'd like to talk to John.	Džonu	4	Džonas	Npmsinf	1mascIAS
Jìs didžiúojasi sàvo šeimà.	Jis didžiuojasi savo šeima.	He is proud of his family.	šeima	3	šeima	Ncfsin-	2femIA
Jìs mė́gsta válgyti salotàs sù mėsà.	Jis mėgsta valgyti salotas su mėsa.	He likes to eat salad with meat.	mėsa	5	mėsa	Ncfsin-	2femIA
Jìs nuspréndė taptì gýdytoju.	Jis nusprendė tapti gydytoju.	He made up his mind to be a doctor.	gydytoju	3	gydytojas	Ncmsin-	1mascIAS
Katė̃ ỹra põ stalù.	Katė yra po stalu.	The cat is under the table.	stalu	3	stalas	Ncmsin-	1mascIAS
Mẽs tikìme Dievù.	Mes tikime Dievu.	We believe in God.	Dievu	2	dievas	Ncmsin-	1mascIAS
Šiuõ metù Tòmas móko ánglų kalbõs Japònijoje.	Šiuo metu Tomas moko anglų kalbos Japonijoje.	Tom currently teaches English in Japan.	metu	1	metas	Ncmsin-	1mascIAS
Àš nuspréndžiau taptì advokatù.	Aš nusprendžiau tapti advokatu.	I decided to be a lawyer.	advokatu	3	advokatas	Ncmsin-	1mascIAS
Àš sutikaũ sù šiuõ pasiū́lymu.	Aš sutikau su šiuo pasiūlymu.	I agreed to the proposal.	pasiūlymu	4	pasiūlymas	Ncmsin-	1mascIAS
Àš teñ skrìsiu lėktuvù.	Aš ten skrisiu lėktuvu.	I will go there by plane.	lėktuvu	3	lėktuvas	Ncmsin-	1mascIAS
Jì grójo gitarà, õ jìs dainãvo.	Ji grojo gitara, o jis dainavo.	She played the guitar and he sang.	gitara	2	gitara	Ncfsin-	2femIA
Jìs bùvo apkáltintas žmogžudystè.	Jis buvo apkaltintas žmogžudyste.	He was accused of murder.	žmogžudyste	3	žmogžudystė	Ncfsin-	2femĖ
Jìs nesutìko sù màno pasiū́lymu.	Jis nesutiko su mano pasiūlymu.	He didn't agree to my proposal.	pasiūlymu	4	pasiūlymas	Ncmsin-	1mascIAS
Jìs sutìko sù mū́sų pasiū́lymu.	Jis sutiko su mūsų pasiūlymu.	He accepted our offer.	pasiūlymu	4	pasiūlymas	Ncmsin-	1mascIAS
Kaĩ atėjaũ namõ, màno sesuõ grójo gitarà.	Kai atėjau namo, mano sesuo grojo gitara.	When I came home, my sister was playing the guitar.	gitara	7	gitara	Ncfsin-	2femIA
Kuriuõ metù išgirdaĩ šū̃vį?	Kuriuo metu išgirdai šūvį?	At what time did you hear the gunshot?	metu	1	metas	Ncmsin-	1mascIAS
Negaliù giñčytis sù likimù.	Negaliu ginčytis su likimu.	One can't quarrel with destiny.	likimu	3	likimas	Ncmsin-	1mascIAS
Norė́čiau pasikalbė́ti sù advokatù.	Norėčiau pasikalbėti su advokatu.	I want to speak to a lawyer.	advokatu	3	advokatas	Ncmsin-	1mascIAS
Norė́čiau pasikalbė́ti sù sàvo advokatù.	Norėčiau pasikalbėti su savo advokatu.	I want to speak to my lawyer.	advokatu	4	advokatas	Ncmsin-	1mascIAS
Ar̃ galiù tavè vadìnti Tomù?	Ar galiu tave vadinti Tomu?	May I call you Tom?	Tomu	4	tomas	Ncmsin-	1mascIAS
Àš išsių̃siu knỹgą paštù.	Aš išsiųsiu knygą paštu.	I'll send the book by mail.	paštu	3	paštas	Ncmsin-	1mascIAS
Àš kalbė́jausi sù Tomù.	Aš kalbėjausi su Tomu.	I talked to Tom.	Tomu	3	Tomas	Npmsinf	1mascIAS
Àš kalbù sù Tomù.	Aš kalbu su Tomu.	I am talking with Tom.	Tomu	3	tomas	Ncmsin-	1mascIAS
Àš supáiniojau tavè sù sàvo bróliu.	Aš supainiojau tave su savo broliu.	I mistook you for your brother.	broliu	5	brolis	Ncmsin-	1mascIS
Àš sutikaũ sù Tomù.	Aš sutikau su Tomu.	I agreed with Tom.	Tomu	3	Tomas	Npmsinf	1mascIAS
Àš turbū́t tavè supáiniojau sù kitù màno draugù kurìs tùri tókį pãtį var̃dą!	Aš turbūt tave supainiojau su kitu mano draugu kuris turi tokį patį vardą!	I may have mistaken you with my other friend who has the same name!	draugu	7	draugas	Ncmsin-	1mascIAS
Jì juõs teñ nùvežė automobiliù.	Ji juos ten nuvežė automobiliu.	She drove them there by car.	automobiliu	4	automobilis	Ncmsin-	1mascIS
Jõ tėvaĩ bùvo paténkinti jõ sėkmè.	Jo tėvai buvo patenkinti jo sėkme.	His parents were pleased with his success.	sėkme	5	sėkmė	Ncfsin-	2femĖ
Kadà tù susipažinaĩ sù Tomù?	Kada tu susipažinai su Tomu?	When did you get to know Tom?	Tomu	4	Tomas	Npmsinf	1mascIAS
Mẽs sù Tomù netùrime jokių̃ paslapčių̃ víenas nuõ kìto.	Mes su Tomu neturime jokių paslapčių vienas nuo kito.	Tom and I have no secrets from each other.	Tomu	2	tomas	Ncmsin-	1mascIAS
Vãkar pìrmą kar̃tą kalbė́jau sù Tomù prancū̃ziškai.	Vakar pirmą kartą kalbėjau su Tomu prancūziškai.	Yesterday was the first time I had spoken to Tom in French.	Tomu	5	Tomas	Npmsinf	1mascIAS
Jìs apsìmetė màno draugù.	Jis apsimetė mano draugu.	He pretended to be my friend.	draugu	3	draugas	Ncmsin-	1mascIAS
Kókiu maistù àš turė́čiau maitìnti sàvo šùnį?	Kokiu maistu aš turėčiau maitinti savo šunį?	What kind of food should I be feeding my dog?	maistu	1	maistas	Ncmsin-	1mascIAS
Pažiūrė́k į̃ tą̃ nãmą sù raudónu stógu.	Pažiūrėk į tą namą su raudonu stogu.	Look at the house with the red roof.	stogu	6	stogas	Ncmsin-	1mascIAS
Pažiūrė́kite į̃ tą̃ nãmą sù raudónu stógu.	Pažiūrėkite į tą namą su raudonu stogu.	Look at the house with the red roof.	stogu	6	stogas	Ncmsin-	1mascIAS
Põ añtklode ỹra šil̃ta.	Po antklode yra šilta.	It's warm under the blanket.	antklode	1	antklodė	Ncfsin-	2femĖ
Polìcija apkáltino jį̃ žmogžudystè.	Policija apkaltino jį žmogžudyste.	The police accused him of murder.	žmogžudyste	3	žmogžudystė	Ncfsin-	2femĖ
Àš niekadà negė́riau arbãtos sù píenu.	Aš niekada negėriau arbatos su pienu.	I've never drank milk with tea.	pienu	5	pienas	Ncmsin-	1mascIAS
Jái tuõ metù bùvo devyniólika.	Jai tuo metu buvo devyniolika.	She was 19 at the time.	metu	2	metas	Ncmsin-	1mascIAS
Jìs nėrà paténkintas rezultatù.	Jis nėra patenkintas rezultatu.	He is unsatisfied with the result.	rezultatu	3	rezultatas	Ncmsin-	1mascIAS
Jìs ỹra nepaténkintas rezultatù.	Jis yra nepatenkintas rezultatu.	He is unsatisfied with the result.	rezultatu	3	rezultatas	Ncmsin-	1mascIAS
